gene,alias,celltype,mean_expr,pct_expr
AT1G35720,ANNAT1,Meristematic,0.12868520617485046,7.214285714285714
AT1G35720,ANNAT1,Guard,0.02934221923351288,2.247191011235955
AT1G35720,ANNAT1,ALL,0.12379556894302368,6.174662342063223
AT2G26650,AKT1,Epidermal,0.36667802929878235,16.66926636510165
AT2G26650,AKT1,Mesophyll,0.19718608260154724,10.767790262172285
AT2G26650,AKT1,Stele,0.28767120838165283,14.127358490566039
AT2G26650,AKT1,Meristematic,0.26772353053092957,14.857142857142858
AT2G26650,AKT1,Guard,0.19150637090206146,11.235955056179774
AT2G26650,AKT1,ALL,0.29014477133750916,14.138064578593212
AT4G22200,AKT2,Epidermal,0.13595516979694366,6.754016534082047
AT4G22200,AKT2,Mesophyll,0.17716218531131744,9.182718031032639
AT4G22200,AKT2,Stele,0.17571957409381866,9.127358490566037
AT4G22200,AKT2,Meristematic,0.1589403599500656,9.642857142857144
AT4G22200,AKT2,Guard,0.14375413954257965,8.98876404494382
AT4G22200,AKT2,ALL,0.15652400255203247,8.077165125623276
AT5G37500,GORK,Epidermal,0.0485919751226902,2.355326782093277
AT5G37500,GORK,Mesophyll,0.022744085639715195,1.3108614232209739
AT5G37500,GORK,Stele,0.031789325177669525,1.509433962264151
AT5G37500,GORK,Meristematic,0.03135472908616066,1.9285714285714284
AT5G37500,GORK,Guard,0.11302903294563293,4.49438202247191
AT5G37500,GORK,ALL,0.03648348152637482,1.8661954785302803
AT5G46240,KAT1,Epidermal,0.11388273537158966,5.2981854104923825
AT5G46240,KAT1,Mesophyll,0.062248386442661285,3.504547886570358
AT5G46240,KAT1,Stele,0.19131417572498322,9.174528301886792
AT5G46240,KAT1,Meristematic,0.08057061582803726,4.857142857142857
AT5G46240,KAT1,Guard,0.18010903894901276,8.98876404494382
AT5G46240,KAT1,ALL,0.10102734714746475,5.024931016120444
AT4G18290,KAT2,Epidermal,0.011669736355543137,0.5771330525659024
AT4G18290,KAT2,Mesophyll,0.011654905043542385,0.6688068485821295
AT4G18290,KAT2,Stele,0.057732969522476196,2.7122641509433962
AT4G18290,KAT2,Meristematic,0.014332935214042664,0.9642857142857142
AT4G18290,KAT2,Guard,0.04180911183357239,2.247191011235955
AT4G18290,KAT2,ALL,0.016637198626995087,0.8592728857046037
AT4G32650,KC1,Epidermal,0.25495073199272156,11.729839338636717
AT4G32650,KC1,Mesophyll,0.1438504308462143,7.9253611556982335
AT4G32650,KC1,Stele,0.15306301414966583,7.877358490566038
AT4G32650,KC1,Meristematic,0.204632967710495,11.821428571428571
AT4G32650,KC1,Guard,0.11550416797399521,6.741573033707865
AT4G32650,KC1,ALL,0.200575053691864,9.953042552161495
AT4G10250,HSP22.0,Epidermal,0.00029250659281387925,0.015598190609889253
AT4G10250,HSP22.0,Mesophyll,0.0,0.0
AT4G10250,HSP22.0,Stele,0.0,0.0
AT4G10250,HSP22.0,Meristematic,0.0,0.0
AT4G10250,HSP22.0,Guard,0.0,0.0
AT4G10250,HSP22.0,ALL,0.00013617124932352453,0.007261461005954399
AT4G01390,TRAF-like,Epidermal,0.010134441778063774,0.4991420995164561
AT4G01390,TRAF-like,Mesophyll,0.011723782867193222,0.6487426431246656
AT4G01390,TRAF-like,Stele,0.03646542876958847,1.7452830188679245
AT4G01390,TRAF-like,Meristematic,0.01255865953862667,0.7857142857142858
AT4G01390,TRAF-like,Guard,0.0,0.0
AT4G01390,TRAF-like,ALL,0.013554421253502369,0.699520743573607
